size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
large,cnn,NT,Nerve_Tibial,510,yes,0.74,0.015,0.188,0.046
large,rnn,NT,Nerve_Tibial,510,yes,0.763,0.048,0.047,0.621
small,mlp,NT,Nerve_Tibial,1030,yes,0.685,0.018,0.122,0.418
small,cnn,NT,Nerve_Tibial,1030,yes,0.691,0.036,0.081,0.593
small,rnn,NT,Nerve_Tibial,1030,yes,0.789,0.352,0.07,0.642
middle,mlp,NT,Nerve_Tibial,1030,yes,0.815,0.014,0.054,0.662
middle,cnn,NT,Nerve_Tibial,1030,yes,0.819,0.026,0.234,0.054
middle,rnn,NT,Nerve_Tibial,1030,yes,0.786,0.057,0.267,0.028
large,mlp,NT,Nerve_Tibial,1030,yes,0.766,0.024,0.058,0.539
large,cnn,NT,Nerve_Tibial,1030,yes,0.769,0.032,0.007,0.939
large,rnn,NT,Nerve_Tibial,1030,yes,0.787,0.081,0.043,0.649
