size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
large,transformer,gpn,Nerve_Tibial,1024,no,0.7052,0.0031,0.0865
large,transformer,gpn,Esophagus_Mucosa,510,no,0.755,-0.01,0.0708
small,transformer,gpn,Heart_Left_Ventricle,1024,no,0.6262,0.0239,0.1674
small,transformer,gpn,Esophagus_Mucosa,1024,no,0.7579,0.0096,0.2207
large,transformer,gpn,Heart_Left_Ventricle,510,no,0.5878,0.0044,0.1799
large,transformer,gpn,Nerve_Tibial,510,no,0.6949,0.0321,0.2239
large,transformer,gpn,Esophagus_Mucosa,17,no,0.7542,-0.0078,0.0293
middle,transformer,gpn,Heart_Left_Ventricle,1024,no,0.7839,-0.0281,-0.0817
large,transformer,gpn,Nerve_Tibial,17,no,0.6957,0.0297,0.2114
small,transformer,enformer-pca,Nerve_Tibial,17,yes,0.7384,-0.1558,0.2866
small,transformer,enformer-pca,Nerve_Tibial,1024,yes,0.7819,-0.0153,0.3144
middle,transformer,enformer-pca,Nerve_Tibial,17,yes,0.82,-0.3829,0.076
small,transformer,enformer-pca,Heart_Left_Ventricle,510,yes,0.7035,0.0132,0.3283
middle,transformer,enformer-pca,Heart_Left_Ventricle,17,yes,0.9627,-0.9621,-0.3032
middle,transformer,enformer-pca,Nerve_Tibial,510,yes,0.8862,-0.4349,-0.0538
small,transformer,enformer-pca,Nerve_Tibial,510,yes,0.9005,-0.3832,-0.0243
middle,transformer,enformer-pca,Nerve_Tibial,1024,yes,0.8303,-0.4167,0.1669
large,transformer,enformer-pca,Heart_Left_Ventricle,1024,yes,1.0357,-0.9012,-0.0842
small,transformer,enformer-pca,Esophagus_Mucosa,17,yes,0.675,0.0782,0.3871
small,transformer,enformer-pca,Heart_Left_Ventricle,17,yes,0.722,0.0155,0.4545
small,transformer,enformer-pca,Esophagus_Mucosa,510,yes,0.8364,-0.2261,0.1792
middle,transformer,enformer-pca,Esophagus_Mucosa,1024,yes,0.8201,-0.4077,-0.0985
middle,transformer,enformer-pca,Heart_Left_Ventricle,510,yes,0.7331,-0.187,0.2486
large,transformer,enformer-pca,Heart_Left_Ventricle,17,yes,0.8247,-0.1917,0.3412
middle,transformer,enformer-pca,Esophagus_Mucosa,17,yes,0.7793,-0.1266,0.1709
large,transformer,enformer-pca,Esophagus_Mucosa,1024,yes,0.8331,-0.1281,0.2088
middle,transformer,enformer-pca,Esophagus_Mucosa,510,yes,0.7963,-0.2192,0.2119
large,transformer,enformer-pca,Nerve_Tibial,1024,yes,0.9098,-0.1902,0.165
large,transformer,enformer-pca,Esophagus_Mucosa,510,yes,0.7817,0.0073,0.3712
small,transformer,enformer-pca,Heart_Left_Ventricle,1024,yes,0.83,-0.379,0.0411
small,transformer,enformer-pca,Esophagus_Mucosa,1024,yes,0.7831,-0.2857,0.1484
large,transformer,enformer-pca,Heart_Left_Ventricle,510,yes,0.8427,-0.175,0.3032
large,transformer,enformer-pca,Nerve_Tibial,510,yes,0.8536,-0.231,0.1898
large,transformer,enformer-pca,Esophagus_Mucosa,17,yes,0.8228,0.056,0.4193
middle,transformer,enformer-pca,Heart_Left_Ventricle,1024,yes,0.9112,-0.7453,-0.0881
large,transformer,enformer-pca,Nerve_Tibial,17,yes,0.8993,-0.12,0.1969
small,transformer,enformer-pca,Nerve_Tibial,17,no,0.8836,-0.5585,-0.3071
small,transformer,enformer-pca,Nerve_Tibial,1024,no,0.9267,-0.7143,-0.2712
middle,transformer,enformer-pca,Nerve_Tibial,17,no,0.9413,-0.393,-0.0556
small,transformer,enformer-pca,Heart_Left_Ventricle,510,no,0.6411,-0.0232,0.2673
middle,transformer,enformer-pca,Heart_Left_Ventricle,17,no,0.8528,-0.2167,0.066
middle,transformer,enformer-pca,Nerve_Tibial,510,no,0.9162,-0.3197,0.0147
small,transformer,enformer-pca,Nerve_Tibial,510,no,0.9317,-0.733,-0.1826
middle,transformer,enformer-pca,Nerve_Tibial,1024,no,0.9033,-0.283,0.0358
large,transformer,enformer-pca,Heart_Left_Ventricle,1024,no,0.7671,-0.696,0.0044
small,transformer,enformer-pca,Esophagus_Mucosa,17,no,0.8476,-0.2387,0.1278
small,transformer,enformer-pca,Heart_Left_Ventricle,17,no,0.6276,0.0196,0.4116
small,transformer,enformer-pca,Esophagus_Mucosa,510,no,0.7888,-0.0729,0.2427
middle,transformer,enformer-pca,Esophagus_Mucosa,1024,no,0.8208,-0.155,0.2377
middle,transformer,enformer-pca,Heart_Left_Ventricle,510,no,0.7734,-0.0007,0.3006
large,transformer,enformer-pca,Heart_Left_Ventricle,17,no,0.8283,-0.9773,-0.0215
middle,transformer,enformer-pca,Esophagus_Mucosa,17,no,0.8902,-0.3583,0.0674
large,transformer,enformer-pca,Esophagus_Mucosa,1024,no,0.9278,-0.5252,-0.0383
middle,transformer,enformer-pca,Esophagus_Mucosa,510,no,0.8856,-0.3443,0.1389
large,transformer,enformer-pca,Nerve_Tibial,1024,no,0.8302,-0.3818,0.1231
large,transformer,enformer-pca,Esophagus_Mucosa,510,no,0.9291,-0.5296,-0.0196
small,transformer,enformer-pca,Heart_Left_Ventricle,1024,no,0.6282,0.0176,0.3358
small,transformer,enformer-pca,Esophagus_Mucosa,1024,no,0.8727,-0.313,0.0868
large,transformer,enformer-pca,Heart_Left_Ventricle,510,no,0.7422,-0.5876,0.2002
large,transformer,enformer-pca,Nerve_Tibial,510,no,0.8288,-0.3768,0.0666
large,transformer,enformer-pca,Esophagus_Mucosa,17,no,0.9281,-0.5263,-0.0658
middle,transformer,enformer-pca,Heart_Left_Ventricle,1024,no,0.8412,-0.1838,0.154
large,transformer,enformer-pca,Nerve_Tibial,17,no,0.8358,-0.4003,0.0634
