size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
middle,lightgbm,dnabert2,Nerve_Tibial,1030,no,0.845,-0.123,0.049
middle,random forest,dnabert2,Nerve_Tibial,1030,no,0.827,-0.075,-0.05
middle,knn,dnabert2,Nerve_Tibial,1030,no,0.806,-0.021,0.051
middle,svm,dnabert2,Nerve_Tibial,1030,no,0.805,-0.018,-0.064
large,xgboost,dnabert2,Nerve_Tibial,1030,no,0.781,-0.224,0.042
large,lightgbm,dnabert2,Nerve_Tibial,1030,no,0.816,-0.336,-0.138
large,random forest,dnabert2,Nerve_Tibial,1030,no,0.737,-0.885,-0.085
large,knn,dnabert2,Nerve_Tibial,1030,no,0.715,-0.025,0.058
large,svm,dnabert2,Nerve_Tibial,1030,no,0.721,-0.051,0.051
small,xgboost,dnabert2,Nerve_Tibial,17,yes,0.908,-0.153,0.171
small,lightgbm,dnabert2,Nerve_Tibial,17,yes,0.877,-0.076,0.191
small,random forest,dnabert2,Nerve_Tibial,17,yes,0.811,0.08,0.316
small,knn,dnabert2,Nerve_Tibial,17,yes,0.852,-0.017,0.018
small,svm,dnabert2,Nerve_Tibial,17,yes,0.791,0.124,0.361
middle,xgboost,dnabert2,Nerve_Tibial,17,yes,0.706,0.074,0.413
middle,lightgbm,dnabert2,Nerve_Tibial,17,yes,0.728,0.017,0.351
middle,random forest,dnabert2,Nerve_Tibial,17,yes,0.74,0.123,0.366
middle,knn,dnabert2,Nerve_Tibial,17,yes,0.802,-0.029,-0.019
middle,svm,dnabert2,Nerve_Tibial,17,yes,0.732,0.141,0.385
large,xgboost,dnabert2,Nerve_Tibial,17,yes,0.674,0.284,0.553
large,lightgbm,dnabert2,Nerve_Tibial,17,yes,0.698,0.232,0.506
large,random forest,dnabert2,Nerve_Tibial,17,yes,0.715,0.195,0.463
large,knn,dnabert2,Nerve_Tibial,17,yes,0.811,-0.036,-0.032
large,svm,dnabert2,Nerve_Tibial,17,yes,0.69,0.251,0.508
small,xgboost,dnabert2,Nerve_Tibial,510,yes,0.844,0.033,0.294
small,lightgbm,dnabert2,Nerve_Tibial,510,yes,0.808,0.112,0.364
small,random forest,dnabert2,Nerve_Tibial,510,yes,0.789,0.153,0.428
small,knn,dnabert2,Nerve_Tibial,510,yes,0.86,-0.006,-0.059
small,svm,dnabert2,Nerve_Tibial,510,yes,0.808,0.113,0.345
middle,xgboost,dnabert2,Nerve_Tibial,510,yes,0.686,0.066,0.353
middle,lightgbm,dnabert2,Nerve_Tibial,510,yes,0.658,0.139,0.406
middle,random forest,dnabert2,Nerve_Tibial,510,yes,0.647,0.169,0.419
middle,knn,dnabert2,Nerve_Tibial,510,yes,0.71,-0.003,-0.014
middle,svm,dnabert2,Nerve_Tibial,510,yes,0.65,0.16,0.411
large,xgboost,dnabert2,Nerve_Tibial,510,yes,0.754,0.046,0.395
large,lightgbm,dnabert2,Nerve_Tibial,510,yes,0.722,0.125,0.438
large,random forest,dnabert2,Nerve_Tibial,510,yes,0.696,0.189,0.441
large,knn,dnabert2,Nerve_Tibial,510,yes,0.774,-0.003,0.053
large,svm,dnabert2,Nerve_Tibial,510,yes,0.719,0.133,0.446
small,xgboost,dnabert2,Nerve_Tibial,1030,yes,0.788,-0.347,0.021
small,lightgbm,dnabert2,Nerve_Tibial,1030,yes,0.707,-0.085,0.178
small,random forest,dnabert2,Nerve_Tibial,1030,yes,0.654,0.071,0.28
small,knn,dnabert2,Nerve_Tibial,1030,yes,0.682,-0.009,-0.06
