size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,svm,NT,Heart_Left_Ventricle,1030,yes,0.8,0.8,1.0,0.88
middle,xgboost,NT,Heart_Left_Ventricle,1030,yes,0.61,0.66,0.66,0.66
middle,lightgbm,NT,Heart_Left_Ventricle,1030,yes,0.61,0.66,0.66,0.66
middle,random forest,NT,Heart_Left_Ventricle,1030,yes,0.65,0.65,0.86,0.74
middle,knn,NT,Heart_Left_Ventricle,1030,yes,0.42,0.0,0.0,0.0
middle,svm,NT,Heart_Left_Ventricle,1030,yes,0.5,0.66,0.26,0.38
large,xgboost,NT,Heart_Left_Ventricle,1030,yes,0.63,0.52,0.7,0.6
large,lightgbm,NT,Heart_Left_Ventricle,1030,yes,0.65,0.54,0.7,0.61
large,random forest,NT,Heart_Left_Ventricle,1030,yes,0.56,0.45,0.64,0.53
large,knn,NT,Heart_Left_Ventricle,1030,yes,0.45,0.41,1.0,0.58
large,svm,NT,Heart_Left_Ventricle,1030,yes,0.38,0.38,1.0,0.55
small,xgboost,NT,Nerve_Tibial,17,yes,0.56,0.59,0.64,0.61
small,lightgbm,NT,Nerve_Tibial,17,yes,0.6,0.64,0.64,0.64
small,random forest,NT,Nerve_Tibial,17,yes,0.45,0.5,0.64,0.56
small,knn,NT,Nerve_Tibial,17,yes,0.54,0.54,1.0,0.7
small,svm,NT,Nerve_Tibial,17,yes,0.54,0.54,1.0,0.7
middle,xgboost,NT,Nerve_Tibial,17,yes,0.63,0.63,0.72,0.67
middle,lightgbm,NT,Nerve_Tibial,17,yes,0.55,0.56,0.72,0.63
middle,random forest,NT,Nerve_Tibial,17,yes,0.61,0.61,0.72,0.66
middle,knn,NT,Nerve_Tibial,17,yes,0.48,0.5,0.77,0.61
middle,svm,NT,Nerve_Tibial,17,yes,0.63,0.59,1.0,0.74
large,xgboost,NT,Nerve_Tibial,17,yes,0.58,0.56,0.66,0.61
large,lightgbm,NT,Nerve_Tibial,17,yes,0.57,0.55,0.67,0.61
large,random forest,NT,Nerve_Tibial,17,yes,0.61,0.61,0.64,0.62
large,knn,NT,Nerve_Tibial,17,yes,0.51,0.5,0.48,0.49
large,svm,NT,Nerve_Tibial,17,yes,0.49,0.49,1.0,0.66
small,xgboost,NT,Nerve_Tibial,510,yes,0.54,0.57,0.64,0.6
small,lightgbm,NT,Nerve_Tibial,510,yes,0.56,0.6,0.6,0.6
small,random forest,NT,Nerve_Tibial,510,yes,0.52,0.56,0.56,0.56
small,knn,NT,Nerve_Tibial,510,yes,0.54,0.54,1.0,0.7
small,svm,NT,Nerve_Tibial,510,yes,0.58,0.56,1.0,0.72
middle,xgboost,NT,Nerve_Tibial,510,yes,0.67,0.75,0.68,0.71
middle,lightgbm,NT,Nerve_Tibial,510,yes,0.73,0.78,0.78,0.78
middle,random forest,NT,Nerve_Tibial,510,yes,0.69,0.76,0.7,0.73
middle,knn,NT,Nerve_Tibial,510,yes,0.66,0.68,0.8,0.74
middle,svm,NT,Nerve_Tibial,510,yes,0.72,0.68,0.97,0.8
large,xgboost,NT,Nerve_Tibial,510,yes,0.61,0.65,0.59,0.62
large,lightgbm,NT,Nerve_Tibial,510,yes,0.62,0.66,0.63,0.65
large,random forest,NT,Nerve_Tibial,510,yes,0.69,0.73,0.68,0.71
large,knn,NT,Nerve_Tibial,510,yes,0.53,0.57,0.57,0.57
large,svm,NT,Nerve_Tibial,510,yes,0.53,0.53,1.0,0.7
small,xgboost,NT,Nerve_Tibial,1030,yes,0.52,0.54,0.5,0.52
small,lightgbm,NT,Nerve_Tibial,1030,yes,0.54,0.56,0.54,0.55
small,random forest,NT,Nerve_Tibial,1030,yes,0.58,0.56,0.87,0.68
small,knn,NT,Nerve_Tibial,1030,yes,0.52,0.52,1.0,0.68
small,svm,NT,Nerve_Tibial,1030,yes,0.52,0.52,1.0,0.68
middle,xgboost,NT,Nerve_Tibial,1030,yes,0.55,0.5,0.7,0.58
middle,lightgbm,NT,Nerve_Tibial,1030,yes,0.58,0.52,0.7,0.6
middle,random forest,NT,Nerve_Tibial,1030,yes,0.58,0.52,0.7,0.6
middle,knn,NT,Nerve_Tibial,1030,yes,0.44,0.44,1.0,0.61
middle,svm,NT,Nerve_Tibial,1030,yes,0.54,0.49,0.96,0.65
large,xgboost,NT,Nerve_Tibial,1030,yes,0.58,0.53,0.65,0.59
large,lightgbm,NT,Nerve_Tibial,1030,yes,0.58,0.54,0.63,0.58
large,random forest,NT,Nerve_Tibial,1030,yes,0.57,0.53,0.65,0.58
large,knn,NT,Nerve_Tibial,1030,yes,0.46,0.43,0.53,0.48
large,svm,NT,Nerve_Tibial,1030,yes,0.46,0.46,1.0,0.63
